ID	VARDAS PAVARDĖ	Sąrašas	Numeris sąraše	Porinkiminis numeris	Vienmandatė apygarda	Iškėlė vienmandatėje	Turas	Privalomas registruoti turtas (Eur)	Vertybiniai popieriai, meno kūriniai, juvelyriniai dirbiniai (Eur)	Piniginės lėšos (Eur)	Suteiktos paskolos (Eur)	Gautos paskolos (Eur)	Gautų pajamų suma (GPM305 formos 12, 13, 14 ir GPM305V formos V14 laukelių suma) (Eur)	Išskaičiuota (sumokėta) pajamų mokesčio suma (GPM305 formos 27, 28, 30 laukelių suma) (Eur)	Nuoroda į VRK psl.			
61	ALMA BAGDONAVIČIENĖ	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	74	-			I	21000	0	1000	0	0	7444,89	973	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104664.0%26rnkId%3D426			
62	TOMAS BAGINSKAS	7. Lietuvos Respublikos liberalų sąjūdis	112	-	61. Ukmergės	7. Lietuvos Respublikos liberalų sąjūdis	I	22000	0	8500	0	8774	14033,94	2083	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103528.0%26rnkId%3D426			
63	JUOZAS BAJORAS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	24	-			I	33300	0	2414	0	0	9420,01	1346	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1099944.0%26rnkId%3D426			
64	VYTAUTAS BAKAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	12	-	9. Lazdynų	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	53530	0	8381	10000	76505	26084,43	3734	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102540.0%26rnkId%3D426			
65	KRISTINA BAKĖ	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	32	-			I	65000	0	5000	0	3000	12001,63	1713	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1099932.0%26rnkId%3D426			
66	TOMAS BAKUČIONIS	6. Lietuvos valstiečių ir žaliųjų sąjunga	43	-	3. Antakalnio	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	27562	0	2000	0	0	7673,88	669	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102472.0%26rnkId%3D426			
67	MINDAUGAS PETRAS BALAŠAITIS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	107	-			I	287600	0	25393	0	94050	46944,23	3032	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104322.0%26rnkId%3D426			
68	ALGIRDAS BALČYTIS	1. Lietuvos socialdemokratų partija	81	-			I	214755	52275	175335	0	0	19540,97	1653	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103862.0%26rnkId%3D426			
69	ARVYDAS BALČIŪNAS	1. Lietuvos socialdemokratų partija	126	-			I	28532	0	12323	0	0	23431,11	3439	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103924.0%26rnkId%3D426			
70	KAROLIS BALČIŪNAS	7. Lietuvos Respublikos liberalų sąjūdis	80	-	54. Molėtų-Širvintų	7. Lietuvos Respublikos liberalų sąjūdis	I	110500	0	0	0	0	28700,19	2620	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103514.0%26rnkId%3D426			
71	POVILAS BALČIŪNAS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	70	-			I	29323	0	74676	0	0	25070,68	3707	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104222.0%26rnkId%3D426			
72	AGNĖ BALČIŪNIENĖ	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	113	-	61. Ukmergės	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	14200	0	1000	0	20922	12926,57	1831	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104050.0%26rnkId%3D426			
73	RITA BALČIŪNIENĖ	7. Lietuvos Respublikos liberalų sąjūdis	42	-			I	74538	0	0	0	0	21864,17	2927	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103572.0%26rnkId%3D426			
74	NERINGA BALIUKONIENĖ	9. „Drąsos kelias“ politinė partija	29	-			I	6500	0	3939	0	0	8221,66	347	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102726.0%26rnkId%3D426			
75	ROKAS BALIUKOVAS	8. Darbo partija	138	-			I	147900	0	1695	0	8379	28912,99	4337	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101412.0%26rnkId%3D426			
76	STEPAS BALIULIS	10. Lietuvos liaudies partija	34	-			I	39500	0	10000	0	0	22530,56	3355	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103336.0%26rnkId%3D426			
77	VITALIJUS BALKUS	10. Lietuvos liaudies partija	9	-	11. Panerių	10. Lietuvos liaudies partija	I	4000	1593	2800	0	0	3152,09	174	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103300.0%26rnkId%3D426			
