ID	VARDAS PAVARDĖ	Sąrašas	Numeris sąraše	Porinkiminis numeris	Vienmandatė apygarda	Iškėlė vienmandatėje	Turas	Privalomas registruoti turtas (Eur)	Vertybiniai popieriai, meno kūriniai, juvelyriniai dirbiniai (Eur)	Piniginės lėšos (Eur)	Suteiktos paskolos (Eur)	Gautos paskolos (Eur)	Gautų pajamų suma (GPM305 formos 12, 13, 14 ir GPM305V formos V14 laukelių suma) (Eur)	Išskaičiuota (sumokėta) pajamų mokesčio suma (GPM305 formos 27, 28, 30 laukelių suma) (Eur)	Nuoroda į VRK psl.			
78	AUDRONĖ BALNIONIENĖ	7. Lietuvos Respublikos liberalų sąjūdis	37	-			I	99677	0	20085	0	56085	16260,82	2293	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103610.0%26rnkId%3D426			
79	LORENA BALSĖ	5. Partija Tvarka ir teisingumas	101	-			I	178200	0	23550	0	0	10392,4	1399	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102318.0%26rnkId%3D426			
80	LINAS BALSYS	12. Lietuvos žaliųjų partija	1	-	11. Panerių	12. Lietuvos žaliųjų partija	I	67980	0	28909	0	0	34992,24	5249	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103978.0%26rnkId%3D426			
81	ŽYDRŪNĖ BALSYTĖ	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	39	-	16. Dainavos	Lietuvos centro partija	I	0	0	0	0	0	716,09	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104576.0%26rnkId%3D426			
82	GINTA BALTAG	5. Partija Tvarka ir teisingumas	92	-			I	31000	0	0	0	22681	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102300.0%26rnkId%3D426			
83	VIRGINIJA BALTRAITIENĖ	8. Darbo partija	4	-	43. Kėdainių	8. Darbo partija	I	23540	0	2000	0	6368	44967,87	6284	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100556.0%26rnkId%3D426			
84	RAIMONDA BALTRUKĖNĖ	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	47	-	60. Jonavos	Lietuvos centro partija	I	50	0	0	0	0	1899,64	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104584.0%26rnkId%3D426			
85	JŪRATĖ BALTRŪNIENĖ	13. Politinė partija „Lietuvos sąrašas“	24	-	61. Ukmergės	13. Politinė partija „Lietuvos sąrašas“	I	25300	0	0	0	0	3692,99	35	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104376.0%26rnkId%3D426			
86	BENAS RENATAS BALTUSIS	3. Lietuvos laisvės sąjunga (liberalai)	40	-	20. Baltijos	3. Lietuvos laisvės sąjunga (liberalai)	I	194610	926	1362	0	85838	14023,24	1887	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102830.0%26rnkId%3D426			
87	EGIDIJUS BALTUŠIS	10. Lietuvos liaudies partija	14	-	29. Marijampolės	10. Lietuvos liaudies partija	I	62200	0	7000	0	0	3801,96	175	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103282.0%26rnkId%3D426			
88	VITALIJUS BALTUTIS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	52	-	39. Akmenės-Mažeikių	Lietuvos centro partija	I	27960	0	9000	0	0	10645,84	1415	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104614.0%26rnkId%3D426			
89	ALFONSAS BALZARIS	12. Lietuvos žaliųjų partija	25	-			I	16980	0	0	0	0	13624,2	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104034.0%26rnkId%3D426			
90	ONA BALŽEKIENĖ	7. Lietuvos Respublikos liberalų sąjūdis	44	-	19. Aleksoto-Vilijampolės	7. Lietuvos Respublikos liberalų sąjūdis	I	661675	366657	504684	749188	0	938769,05	106136	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103490.0%26rnkId%3D426			
91	ARŪNAS BANAITIS	9. „Drąsos kelias“ politinė partija	9	-	15. Kalniečių	9. „Drąsos kelias“ politinė partija	I	72984	1448	0	0	47000	35,91	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102710.0%26rnkId%3D426			
92	ANTON BANDALEVIČ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	60	-			I	257608	0	70988	0	50449	199489,79	1114	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103136.0%26rnkId%3D426			
93	ANŽELIKA BANEVIČIENĖ	8. Darbo partija	139	-			I	27600	0	4000	0	0	23188,53	3294	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101414.0%26rnkId%3D426			
94	ŽYDRŪNAS BANEVIČIUS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	18	-	31. Gargždų	Lietuvos centro partija	I	24037	0	4305	0	23169	11692,18	1676	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104528.0%26rnkId%3D426			
95	JONAS BANYS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	90	-			I	4606	0	12000	0	1500	10741,8	1596	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104262.0%26rnkId%3D426			
96	EVELINA BANIULIENĖ	9. „Drąsos kelias“ politinė partija	22	-			I	19304	0	7000	0	0	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102702.0%26rnkId%3D426			
97	ALGIRDAS BANSEVIČIUS	6. Lietuvos valstiečių ir žaliųjų sąjunga	106	-			I	61300	0	10000	0	0	14796,35	2219	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102664.0%26rnkId%3D426			
98	MARTYNAS BANSEVIČIUS	8. Darbo partija	110	-			I	4000	0	0	0	5000	9932,01	1331	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101502.0%26rnkId%3D426			
99	PAULIUS BARANAUSKAS			-	26. Nevėžio	5. Partija Tvarka ir teisingumas	I	2000	1700	37000	0	0	2425,47	46	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102186.0%26rnkId%3D426			
100	TOMAS BARANAUSKAS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	15	-			I	35314	0	0	0	0	9698,74	1110	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101324.0%26rnkId%3D426			
101	DIANA BARANOVIENĖ	8. Darbo partija	113	-			I	31000	0	0	0	17680	11680,28	1511	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101516.0%26rnkId%3D426			
102	IRENA BARANOVSKAJA	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	84	-			I	60031	0	1500	0	0	8485,22	1066	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103232.0%26rnkId%3D426			
103	MODESTAS BARAUSKAS			-	47. Pasvalio-Pakruojo	Išsikėlė pats	I	28962	70	5000	0	0	1000	92	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101230.0%26rnkId%3D426			
104	REGIMANTAS BARAVYKAS	3. Lietuvos laisvės sąjunga (liberalai)	51	-	61. Ukmergės	3. Lietuvos laisvės sąjunga (liberalai)	I	10733	0	4000	17521	0	15392,7	2093	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102810.0%26rnkId%3D426			
105	VYDAS BARAVYKAS	1. Lietuvos socialdemokratų partija	66	-	69. Dzūkijos	1. Lietuvos socialdemokratų partija	I	225376	0	47856	0	0	11993,85	1798	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103800.0%26rnkId%3D426			
106	JURGITA BARAVYKIENĖ	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	72	-			I	3500	0	0	0	0	5378,36	422	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104644.0%26rnkId%3D426			
107	ARŪNAS BARBŠYS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	63	-	22. Pajūrio	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	26522	0	14203	0	0	11402,85	432	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104154.0%26rnkId%3D426			
108	VYTAUTAS BARKAUSKAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	85	-			I	309602	100	92211	0	0	134101,69	1669	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102638.0%26rnkId%3D426			
109	KAZIMIERAS BARTKEVIČIUS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	10	-			I	58000	0	15711	0	0	4,88	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1099970.0%26rnkId%3D426			
110	KĘSTUTIS BARTKEVIČIUS	5. Partija Tvarka ir teisingumas	9	-	38. Mažeikių	5. Partija Tvarka ir teisingumas	I	125981	402123	21797	40892	0	33833,64	4945	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102202.0%26rnkId%3D426			
111	TADAS BARTKUS	5. Partija Tvarka ir teisingumas	81	-	48. Biržų-Kupiškio	5. Partija Tvarka ir teisingumas	I	0	0	6050	0	0	10844,43	1615	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102270.0%26rnkId%3D426			
112	BEATA BARTOŠEVIČ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	87	-			I	0	0	5000	0	0	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103110.0%26rnkId%3D426			
113	ANTANAS BARTULIS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	104	-			I	120495	48546	27330	18246	0	134556,41	19974	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104272.0%26rnkId%3D426			
114	GINTAUTAS BARTULIS	7. Lietuvos Respublikos liberalų sąjūdis	113	-	67. Prienų-Birštono	7. Lietuvos Respublikos liberalų sąjūdis	I	63732	8125	48152	0	0	7814,03	479	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103534.0%26rnkId%3D426			
115	MINDAUGAS BASTYS	1. Lietuvos socialdemokratų partija	43	-	64. Zanavykų	1. Lietuvos socialdemokratų partija	I	202435	18714	42046	0	86162	60582,28	8904	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103830.0%26rnkId%3D426			
116	RASA BAŠKIENĖ	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	51	-			I	184566	0	58000	0	38947	4540,97	196	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104212.0%26rnkId%3D426			
117	RIMA BAŠKIENĖ	6. Lietuvos valstiečių ir žaliųjų sąjunga	3	-	45. Kuršėnų-Dainų	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	35240	0	14938	0	0	37316,61	5596	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102502.0%26rnkId%3D426			
118	ALINA BATULEVIČIENĖ	8. Darbo partija	30	-			I	7000	0	3000	0	0	3769,14	278	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101536.0%26rnkId%3D426			
119	JUOZAS BAUBLYS	7. Lietuvos Respublikos liberalų sąjūdis	89	-	70. Varėnos-Trakų	7. Lietuvos Respublikos liberalų sąjūdis	I	282977	0	4121	30000	90300	184457,83	129	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103540.0%26rnkId%3D426			
120	ANTANAS BAURA	6. Lietuvos valstiečių ir žaliųjų sąjunga	31	-			I	51711	58	3863	0	0	18538,4	2017	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102624.0%26rnkId%3D426			
121	ANDRIUS BAUTRONIS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	64	-	42. Raseinių-Kėdainių	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	21500	0	7343	0	0	17162,97	2259	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104188.0%26rnkId%3D426			
122	ASTA BEIERLE EIGIRDIENĖ	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	73	-			I	148000	0	138000	0	0	1708,89	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104226.0%26rnkId%3D426			
123	OLGA BELIAŠ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	37	-			I	20100	0	20000	0	0	12240,89	1674	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103212.0%26rnkId%3D426			
124	VAIDAS BENDARAVIČIUS	5. Partija Tvarka ir teisingumas	50	-			I	49140	0	26900	0	17377	33092,57	3695	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102280.0%26rnkId%3D426			
125	RIMANTAS BENETIS	1. Lietuvos socialdemokratų partija	31	-			I	114856	50000	420501	0	0	106889,47	15246	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103840.0%26rnkId%3D426			
126	AUDRONĖ BERESNEVIČIENĖ	5. Partija Tvarka ir teisingumas	52	-	44. Radviliškio	5. Partija Tvarka ir teisingumas	I	7387	0	0	0	0	13174,09	1313	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102210.0%26rnkId%3D426			
127	PETRAS BERESNEVIČIUS	5. Partija Tvarka ir teisingumas	93	-			I	31975	0	7300	0	0	1227,32	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102302.0%26rnkId%3D426			
128	JUOZAS BERNATONIS	1. Lietuvos socialdemokratų partija	17	-	8. Karoliniškių	1. Lietuvos socialdemokratų partija	I	183551	17377	58540	0	0	45323,37	6355	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103776.0%26rnkId%3D426			
129	EDGARAS BERNOTAS	5. Partija Tvarka ir teisingumas	51	-	36. Kretingos-Palangos	5. Partija Tvarka ir teisingumas	I	32000	3000	0	0	28000	14630,7	2162	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102198.0%26rnkId%3D426			
130	EDMUNDAS BERNOTAS	3. Lietuvos laisvės sąjunga (liberalai)	67	-			I	0	0	0	0	0	2567,32	32	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102942.0%26rnkId%3D426			
131	VALERIJONAS BERNOTAS	5. Partija Tvarka ir teisingumas	49	-			I	112373	0	55250	8689	0	10243,45	1342	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102282.0%26rnkId%3D426			
132	RIMAS BERTAŠIUS	8. Darbo partija	133	-			I	165500	0	10692	0	0	21112,58	2150	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101504.0%26rnkId%3D426			
133	GEDIMINAS BERŪKŠTIS	5. Partija Tvarka ir teisingumas	124	-			I	5244	0	0	0	0	6841,69	805	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102408.0%26rnkId%3D426			
134	TERESA BERŽANSKA	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	131	-			I	23500	0	0	0	0	11938,15	1514	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103072.0%26rnkId%3D426			
135	GEDIMINAS BERŽINIS BERŽINSKAS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	28	-	45. Kuršėnų-Dainų	Lietuvos centro partija	I	7240	2500	1500	0	3000	13992,93	1832	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104560.0%26rnkId%3D426			
136	VITALIUS BESAKIRSKAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	63	-	52. Visagino-Zarasų	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	150892	12309	50000	0	46340	66168,48	9715	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102552.0%26rnkId%3D426			
137	RAMŪNAS BIELEVIČIUS	7. Lietuvos Respublikos liberalų sąjūdis	94	-	69. Dzūkijos	7. Lietuvos Respublikos liberalų sąjūdis	I	27144	0	15000	0	17969	20619,62	2970	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103538.0%26rnkId%3D426			
138	ROMA BIELIAJEVIENĖ	13. Politinė partija „Lietuvos sąrašas“	38	-			I	253553	0	3500	0	31119	3698,62	158	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104392.0%26rnkId%3D426			
139	REDA BYKOVIENĖ	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	83	-			I	112800	0	15000	0	0	15114,86	1922	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104670.0%26rnkId%3D426			
140	KĘSTUTIS BILIUS	3. Lietuvos laisvės sąjunga (liberalai)	8	-	41. Kelmės-Šiaulių	3. Lietuvos laisvės sąjunga (liberalai)	I	74480	0	6490	0	0	10276,05	1504	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102806.0%26rnkId%3D426			
141	AGNĖ BILOTAITĖ	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	5	-	20. Baltijos	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	219085	0	37360	0	161589	32203,2	4563	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104158.0%26rnkId%3D426			
142	MINGAILĖ BINKAUSKAITĖ	8. Darbo partija	81	-			I	77570	0	4923	0	50466	17474,52	2498	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101506.0%26rnkId%3D426			
143	GINTARAS BINKAUSKAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	124	-			I	47074	0	18740	2947	16637	35715,19	5235	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102560.0%26rnkId%3D426			
144	ALGIMANTAS BIRBILAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	55	-	55. Nemenčinės	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	19650	2346	931	0	2467	11251,55	621	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102512.0%26rnkId%3D426			
145	ŠARŪNAS BIRUTIS	8. Darbo partija	100	-	53. Nalšios	8. Darbo partija	I	458633	244125	82279	792417	0	50508,4	4687	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100540.0%26rnkId%3D426			
146	RĖDA BISTRICKAITĖ	10. Lietuvos liaudies partija	35	-			I	110500	0	0	0	0	18090,63	2557	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103342.0%26rnkId%3D426			
147	RAIMONDAS BITINAS	5. Partija Tvarka ir teisingumas	114	-			I	4400	0	0	0	0	10188	1349	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102388.0%26rnkId%3D426			
148	EFREMA BITINIENĖ	1. Lietuvos socialdemokratų partija	105	-			I	61398	0	35000	0	0	11374,76	1650	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103894.0%26rnkId%3D426			
149	SIMONAS BIZEVIČIUS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	64	-			I	45863	955	0	0	6290	3389,41	209	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101352.0%26rnkId%3D426			
150	HALINA BORAVSKA	3. Lietuvos laisvės sąjunga (liberalai)	71	-			I	60100	0	1500	0	0	2680,61	103	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102880.0%26rnkId%3D426			
151	KRISTYNA BORTKO	8. Darbo partija	41	-	57. Medininkų	8. Darbo partija	I	0	0	0	0	0	16314,65	2362	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100534.0%26rnkId%3D426			
152	VINCAS BOTYRIUS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	82	-			I	150290	184433	50736	0	0	9194,47	1278	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104668.0%26rnkId%3D426			
153	BRONIUS BRADAUSKAS	1. Lietuvos socialdemokratų partija	30	-			I	2902849	3403739	1030134	275139	0	252048,24	35148	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103838.0%26rnkId%3D426			
154	LIUDAS BRADAUSKAS	13. Politinė partija „Lietuvos sąrašas“	7	-	6. Šeškinės	13. Politinė partija „Lietuvos sąrašas“	I	111794	0	2700	0	9535	17428,53	2560	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104350.0%26rnkId%3D426			
155	RENAT BRALKOVSKIJ	5. Partija Tvarka ir teisingumas	78	-	56. Šalčininkų-Vilniaus	5. Partija Tvarka ir teisingumas	I	39200	3000	25000	0	0	12844,21	1821	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102226.0%26rnkId%3D426			
156	ARTAS BRASAS	10. Lietuvos liaudies partija	26	-	5. Fabijoniškių	10. Lietuvos liaudies partija	I	0	0	0	0	0	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103284.0%26rnkId%3D426			
157	NIJOLĖ BRUSOKIENĖ	12. Lietuvos žaliųjų partija	8	-	30. Alytaus	12. Lietuvos žaliųjų partija	I	19500	0	72537	0	0	15820,9	2292	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103992.0%26rnkId%3D426			
158	TADAS BRUZGULIS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	95	-			I	26833	1448	34839	4490	0	5237,72	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104312.0%26rnkId%3D426			
159	SAULIUS BUCEVIČIUS	7. Lietuvos Respublikos liberalų sąjūdis	27	-	39. Akmenės-Mažeikių	7. Lietuvos Respublikos liberalų sąjūdis	I	45056	0	51822	0	0	52241,99	5597	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103458.0%26rnkId%3D426			
160	JUOZAS BUČIUS	8. Darbo partija	102	-			I	161364	3330	20000	0	0	9541,55	1027	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101530.0%26rnkId%3D426			
161	ANDRIUS BŪDA	3. Lietuvos laisvės sąjunga (liberalai)	38	-	17. Petrašiūnų	3. Lietuvos laisvės sąjunga (liberalai)	I	166900	41563	39000	0	7715	20124,58	866	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102828.0%26rnkId%3D426			
